,Area,BHK,Bathroom,Alaknanda,Budh Vihar,Chittaranjan Park,Dilshad Garden,Dwarka Sector,Kailash Colony,Lajpat Nagar,Laxmi Nagar,Rohini Sector,Saket,Sarita Vihar,Yamuna Vihar
42,1260.0,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0
43,1130.0,2,2.0,0,0,0,0,0,0,1,0,0,0,0,0
44,600.0,2,2.0,0,0,0,0,0,0,1,0,0,0,0,0
45,850.0,2,2.0,0,0,0,0,0,0,1,0,0,0,0,0
46,1500.0,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0
47,900.0,2,2.0,0,0,0,0,0,0,1,0,0,0,0,0
48,1000.0,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0
49,900.0,2,2.0,0,0,0,0,0,0,1,0,0,0,0,0
50,2925.0,4,4.0,0,0,0,0,0,0,1,0,0,0,0,0
51,900.0,2,2.0,0,0,0,0,0,0,1,0,0,0,0,0
52,1600.0,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0
53,1143.0,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0
54,1150.0,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0
55,1500.0,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0
56,850.0,2,2.0,0,0,0,0,0,0,1,0,0,0,0,0
57,8000.0,4,5.0,0,0,0,0,0,0,1,0,0,0,0,0
58,890.0,2,2.0,0,0,0,0,0,0,1,0,0,0,0,0
59,1100.0,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0
60,750.0,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0
61,850.0,2,1.0,0,0,0,0,1,0,0,0,0,0,0,0
62,1350.0,3,2.0,0,0,0,0,1,0,0,0,0,0,0,0
63,1387.0,4,4.0,0,0,0,0,1,0,0,0,0,0,0,0
64,1050.0,3,2.0,0,0,0,0,1,0,0,0,0,0,0,0
65,1500.0,3,2.0,0,0,0,0,1,0,0,0,0,0,0,0
66,1200.0,3,3.0,0,0,0,0,1,0,0,0,0,0,0,0
67,700.0,2,1.0,0,0,0,0,1,0,0,0,0,0,0,0
68,1700.0,3,2.0,0,0,0,0,1,0,0,0,0,0,0,0
69,1550.0,3,2.0,0,0,0,0,1,0,0,0,0,0,0,0
70,1400.0,3,3.0,0,0,0,0,1,0,0,0,0,0,0,0
71,1900.0,4,4.0,0,0,0,0,1,0,0,0,0,0,0,0
72,2160.0,4,3.0,0,0,0,0,1,0,0,0,0,0,0,0
73,1700.0,4,3.0,0,0,0,0,1,0,0,0,0,0,0,0
74,1850.0,3,4.0,0,0,0,0,1,0,0,0,0,0,0,0
75,1800.0,4,2.0,0,0,0,0,1,0,0,0,0,0,0,0
76,1620.0,3,2.0,0,0,0,0,1,0,0,0,0,0,0,0
77,1800.0,4,3.0,0,0,0,0,1,0,0,0,0,0,0,0
78,1540.0,3,3.0,0,0,0,0,1,0,0,0,0,0,0,0
79,1600.0,3,3.0,0,0,0,0,1,0,0,0,0,0,0,0
80,1400.0,3,2.0,0,0,0,0,1,0,0,0,0,0,0,0
81,2300.0,4,4.0,0,0,0,0,1,0,0,0,0,0,0,0
82,1560.0,3,2.0,0,0,0,0,1,0,0,0,0,0,0,0
83,1500.0,3,3.0,0,0,0,0,1,0,0,0,0,0,0,0
84,1540.0,3,3.0,0,0,0,0,1,0,0,0,0,0,0,0
85,1050.0,2,2.0,0,0,0,0,1,0,0,0,0,0,0,0
86,1800.0,3,2.0,0,0,0,0,1,0,0,0,0,0,0,0
87,400.0,1,1.0,0,0,0,0,1,0,0,0,0,0,0,0
88,1150.0,3,2.0,0,0,0,0,1,0,0,0,0,0,0,0
89,1525.0,3,3.0,0,0,0,0,1,0,0,0,0,0,0,0
90,900.0,1,1.0,0,0,0,0,0,0,1,0,0,0,0,0
91,1450.0,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0
92,1450.0,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0
93,1260.0,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0
94,2925.0,4,4.0,0,0,0,0,0,0,1,0,0,0,0,0
95,1710.0,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0
96,1600.0,3,3.0,0,0,0,0,0,0,1,0,0,0,0,0
